transf_loc,sku,primary_voltage,size_kva,transformer_age,customers,percent_lol,consecutive_months_overloaded,loss_of_life,max_overload,life_expectancy_at_conditions,date_max_overload,IEEE C57.91 Temp/Loading Flags
T 8209,91420,27.6kV,300,46,1,0.016597935,1,0.580753489,480,35,2021-09-09 0:00,"Top Oil Temp,"
T 1712,91070,4.16kV,25,61,16,0.015964556,3,0.558591899,44.75,35,2021-06-07 0:00,"Top Oil Temp,"
TE 8245,90601,27.6kV,50,10,15,0.015363747,3,0.537569863,89.5,35,2021-07-06 0:00,"Top Oil Temp,"
T 8103,91360,27.6kV,50,41,39,0.014927296,3,0.522298671,83,35,2021-08-29 0:00,"Top Oil Temp,"
TE 1904,90705,27.6kV,75,11,1,0.013441547,1,0.470313066,114.24,35,2022-03-20 0:00,
T 10212,91360,27.6kV,50,22,20,0.011266963,1,0.394225425,86,35,2021-06-06 0:00,"Top Oil Temp,"
TE 5606,90448,27.6kV,75,27,1,0.011137547,2,0.389697241,113.25,35,2021-08-13 0:00,
T 9426,91360,27.6kV,50,28,38,0.009933975,3,0.34758486,80,35,2021-08-29 0:00,
T 9915,91360,27.6kV,50,13,2,0.008682483,2,0.30379575,80.5,35,2021-06-11 0:00,"Top Oil Temp,"
TE 6500,90601,27.6kV,50,21,17,0.007967658,1,0.278784399,80.5,35,2021-08-29 0:00,
T 142,91080,4.16kV,50,57,34,0.007780551,1,0.272237618,81,35,2021-06-26 0:00,
T 11209,91345,27.6kV,10,13,10,0.007703177,1,0.269530327,19.31,35,2021-11-22 0:00,"Top Oil Temp,"
T 7351,91534,8.32kV,10,21,1,0.006233205,0,0.218096759,20.46,35,2022-01-29 0:00,
TE 6834,90601,27.6kV,50,20,15,0.006050667,1,0.211709836,80.5,35,2021-08-28 0:00,
TE 7778,90601,27.6kV,50,14,14,0.005732949,1,0.200593032,81,35,2021-06-05 0:00,
T 9264,91350,27.6kV,25,5,5,0.00556047,1,0.194558065,53.54,35,2022-02-23 0:00,
T 685,91080,4.16kV,50,55,12,0.005443316,1,0.190458907,102.5,35,2021-09-22 0:00,"Top Oil Temp,"
T 1109,91075,4.16kV,37,31,21,0.005175634,1,0.181092864,63.27,35,2021-08-09 0:00,
TE 7915,90740,27.6kV,1000,14,1,0.005133871,0,0.179631601,1225.2,35,2021-07-15 0:00,
T 4216,91075,4.16kV,37,64,39,0.004835993,0,0.169209,59.57,35,2021-08-29 0:00,
TE 5809,90720,27.6kV,300,26,1,0.004481201,0,0.156794994,354,35,2021-06-29 0:00,
T 10440,91360,27.6kV,50,20,29,0.004471489,0,0.156455186,78,35,2021-06-06 0:00,
T 438,91075,4.16kV,37,55,22,0.004256009,0,0.148915652,63.64,35,2021-07-06 0:00,
TE 6833,90601,27.6kV,50,20,16,0.004194724,1,0.146771315,82,35,2021-07-05 0:00,
TE 8246,90601,27.6kV,50,10,14,0.004144489,0,0.145013623,79,35,2021-06-06 0:00,
TE 8159,90601,27.6kV,50,11,11,0.004001015,0,0.139993523,79.5,35,2021-07-05 0:00,
TE 8156,90601,27.6kV,50,11,15,0.003859999,0,0.135059438,76,35,2021-08-29 0:00,
T 10484,91355,27.6kV,37,20,22,0.003807853,0,0.133234899,58.46,35,2021-08-23 0:00,
T 10991,91345,27.6kV,10,11,2,0.003770303,0,0.131921033,16.4,35,2021-06-06 0:00,
T 10481,91360,27.6kV,50,22,33,0.003430005,0,0.120014164,76.5,35,2021-06-06 0:00,
T 429,91075,4.16kV,37,15,21,0.003129655,0,0.109505079,62.16,35,2021-08-23 0:00,
T 4682,91070,4.16kV,25,54,12,0.003034701,0,0.106182674,41,35,2021-08-29 0:00,
TE 3566,90742,27.6kV,300,11,42,0.003029444,1,0.105998745,930.69,35,2022-01-20 0:00,>300% Overloaded
T 10369,91360,27.6kV,50,21,40,0.002981868,0,0.10433407,75.5,35,2021-06-28 0:00,
TE 8247,90601,27.6kV,50,10,13,0.002881651,0,0.100827537,71,35,2021-06-06 0:00,
T 3123,91080,4.16kV,50,57,32,0.002794733,0,0.09778631,72.5,35,2021-08-10 0:00,
T 10433,91355,27.6kV,37,20,24,0.002643253,0,0.09248612,56.61,35,2021-08-29 0:00,
T 3991,91080,4.16kV,50,15,28,0.00262874,0,0.091978317,80.5,35,2021-08-29 0:00,
TE 8747,90601,27.6kV,50,9,16,0.002467899,0,0.086350546,75,35,2021-07-25 0:00,
TE 8042,90601,27.6kV,50,13,16,0.002461492,0,0.086126377,69.5,35,2021-06-27 0:00,
TE 6860,90601,27.6kV,50,19,14,0.002456197,0,0.085941118,74.5,35,2021-06-27 0:00,
T 8171,91355,27.6kV,37,38,18,0.002222407,0,0.07776092,53.65,35,2021-06-28 0:00,
T 9622,91350,27.6kV,25,28,13,0.002213408,0,0.077446041,45.75,35,2021-07-06 0:00,
TE 7683,90601,27.6kV,50,15,17,0.002213292,0,0.077441988,71,35,2021-08-22 0:00,
T 8329,91360,27.6kV,50,38,32,0.00211417,0,0.073973763,78,35,2021-07-06 0:00,
T 2288,91075,4.16kV,37,23,19,0.002103281,0,0.073592767,56.61,35,2021-06-06 0:00,
TE 6988,90601,27.6kV,50,19,16,0.002080194,0,0.072784949,79.5,35,2021-08-29 0:00,
TE 7784,90601,27.6kV,50,14,15,0.002059921,0,0.07207562,70,35,2021-08-24 0:00,
T 9745,91355,27.6kV,37,25,17,0.00195721,0,0.068481806,53.28,35,2021-06-06 0:00,
T 9253,91360,27.6kV,50,29,22,0.001930078,0,0.067532474,73,35,2021-08-29 0:00,
T 10054,91345,27.6kV,10,23,1,0.001857101,0,0.064979051,15.6,35,2021-11-08 0:00,
TE 7068,90601,27.6kV,50,1,11,0.001853698,0,0.064859975,70.5,35,2021-06-11 0:00,
TE 982,90601,27.6kV,50,4,1,0.001848216,0,0.064668177,65,35,2021-06-09 0:00,
T 9855,91350,27.6kV,25,48,12,0.001839903,0,0.064377297,43.75,35,2021-08-28 0:00,
T 209,91070,4.16kV,25,69,12,0.001822812,0,0.0637793,38.25,35,2021-07-05 0:00,
T 8014,91360,27.6kV,50,53,30,0.001801466,0,0.063032409,75,35,2021-08-29 0:00,
T 9698,91355,27.6kV,37,25,22,0.001771349,0,0.06197863,54.39,35,2021-07-25 0:00,
T 9535,91350,27.6kV,25,27,16,0.001744724,0,0.061047013,41.5,35,2021-08-29 0:00,
TE 5997,90601,27.6kV,50,24,18,0.001740844,0,0.060911264,72.5,35,2021-08-29 0:00,
T 10367,91360,27.6kV,50,21,34,0.001732166,0,0.060607611,68,35,2021-07-05 0:00,
T 9282,91365,27.6kV,75,29,32,0.001722471,0,0.060268412,111,35,2021-07-06 0:00,
T 9678,91355,27.6kV,37,27,23,0.001711041,0,0.059868487,55.5,35,2021-06-28 0:00,
TE 7780,90601,27.6kV,50,14,13,0.001657079,0,0.057980384,66,35,2021-06-06 0:00,
T 8364,91365,27.6kV,50,2,30,0.001621724,0,0.05674331,67.5,35,2021-07-05 0:00,
T 8122,91350,27.6kV,25,42,17,0.001603573,0,0.056108213,38,35,2021-08-29 0:00,
T 8879,91360,27.6kV,50,31,34,0.001551848,0,0.054298384,65.5,35,2021-08-22 0:00,
T 2658,91075,4.16kV,37,61,20,0.001520596,0,0.053204905,52.17,35,2021-06-07 0:00,
TE 7221,90601,27.6kV,50,18,15,0.001458436,0,0.051029947,75.5,35,2021-07-05 0:00,
T 10926,91355,27.6kV,37,13,21,0.001436383,0,0.050258335,54.02,35,2021-08-21 0:00,
T 9797,91360,27.6kV,50,25,30,0.001366276,0,0.047805321,78,35,2021-08-29 0:00,
TE 8158,90601,27.6kV,50,11,14,0.001340841,0,0.046915359,71,35,2021-06-28 0:00,
TE 7571,90601,27.6kV,50,16,17,0.001336388,0,0.04675954,75.5,35,2021-06-06 0:00,
T 4746,91080,4.16kV,50,53,31,0.00133469,0,0.046700144,71,35,2021-07-06 0:00,
T 8268,91360,27.6kV,50,22,23,0.001329807,0,0.046529292,75.5,35,2021-08-29 0:00,
TE 6912,90601,27.6kV,50,19,17,0.001327122,0,0.04643533,73.5,35,2021-07-06 0:00,
T 2065,91080,4.16kV,50,57,29,0.001304288,0,0.045636396,72,35,2021-08-23 0:00,
TE 7050,90601,27.6kV,50,18,14,0.001294827,0,0.045305356,72,35,2021-08-29 0:00,
TE 7863,90601,27.6kV,50,14,15,0.001275019,0,0.044612289,62.5,35,2021-06-28 0:00,
T 9789,91350,27.6kV,25,5,14,0.001262125,0,0.044161126,34.75,35,2021-08-28 0:00,
TE 1285,90608,27.6kV,100,21,2,0.001217297,0,0.042592609,120,35,2021-07-06 0:00,
T 11761,91350,27.6kV,25,5,17,0.001212086,0,0.042410283,35,35,2021-08-22 0:00,
TE 5801,90601,27.6kV,50,18,14,0.001165118,0,0.040766907,69,35,2021-06-28 0:00,
T 1468,91070,4.16kV,25,61,16,0.001119437,0,0.039168543,47.75,35,2021-08-29 0:00,
T 9810,91360,27.6kV,50,15,27,0.001104769,0,0.038655309,75.91,35,2022-01-26 0:00,
T 8900,91360,27.6kV,50,11,32,0.001094714,0,0.038303509,70.5,35,2021-08-24 0:00,
TE 7409,90601,27.6kV,50,16,15,0.001077517,0,0.037701788,67.5,35,2021-07-06 0:00,
T 11971,91350,27.6kV,25,2,4,0.00105824,0,0.037027284,27,35,2021-06-27 0:00,
T 3618,91078,4.16kV,45,74,27,0.001054631,0,0.036901023,73.35,35,2021-08-22 0:00,
T 8091,91360,27.6kV,50,11,35,0.001021392,0,0.035737994,76,35,2021-06-06 0:00,
TE 6884,90601,27.6kV,50,19,15,0.001017771,0,0.035611315,69,35,2021-08-29 0:00,
T 10375,91355,27.6kV,37,21,23,0.001015662,0,0.0355375,54.02,35,2021-07-06 0:00,
TE 8244,90601,27.6kV,50,10,14,0.001014076,0,0.035482026,65.5,35,2021-06-06 0:00,
T 9780,91410,27.6kV,150,33,2,0.001013593,0,0.0354651,187.5,35,2021-06-07 0:00,
T 62,91060,4.16kV,10,18,2,0.001005991,0,0.035199134,15,35,2021-08-11 0:00,
T 1549,91080,4.16kV,50,53,20,0.000996899,0,0.034881017,68.5,35,2021-06-28 0:00,
TE 7252,90601,27.6kV,50,17,15,0.000987069,0,0.034537056,69,35,2021-06-20 0:00,
T 9722,91360,27.6kV,50,23,32,0.000986834,0,0.034528847,77,35,2021-08-24 0:00,
T 872,91070,4.16kV,25,61,17,0.000927365,0,0.032448023,41.25,35,2021-08-29 0:00,
TE 177,90601,27.6kV,50,17,22,0.000922023,0,0.032261129,74,35,2021-07-06 0:00,
T 9270,91360,27.6kV,50,29,26,0.000906225,0,0.031708357,65.5,35,2021-06-06 0:00,
T 1754,91075,4.16kV,37,61,21,0.000890641,0,0.031163069,52.17,35,2021-07-06 0:00,
TE 834,90601,27.6kV,50,19,1,0.000877129,0,0.03069031,96,35,2021-06-13 0:00,
T 9888,91410,27.6kV,150,37,5,0.000869176,0,0.030412054,190.5,35,2021-07-05 0:00,
TE 7246,90601,27.6kV,50,17,15,0.000867872,0,0.030366403,66,35,2021-08-22 0:00,
TE 6656,90601,27.6kV,50,21,13,0.00086355,0,0.030215184,70.5,35,2021-08-22 0:00,
TE 7478,90601,27.6kV,50,16,16,0.0008567,0,0.029975504,69,35,2021-07-06 0:00,
T 10412,91355,27.6kV,37,21,26,0.000849074,0,0.029708691,46.25,35,2021-06-29 0:00,
T 11546,91360,27.6kV,50,8,26,0.000821233,0,0.028734542,65.5,35,2021-07-05 0:00,
TE 803,90601,27.6kV,50,19,1,0.000817934,0,0.028619113,147.5,35,2021-06-13 0:00,
TE 5705,90601,27.6kV,50,22,26,0.000815062,0,0.028518604,66,35,2021-08-29 0:00,
T 9771,91355,27.6kV,37,36,21,0.000808443,0,0.028287022,48.84,35,2021-06-27 0:00,
T 8031,91360,27.6kV,50,18,25,0.000806541,0,0.028220459,64,35,2021-07-06 0:00,
TE 5711,90452,27.6kV,112,21,1,0.000806145,0,0.028206621,134.4,35,2021-06-29 0:00,
T 9741,91355,27.6kV,37,25,19,0.000797468,0,0.027903013,53.65,35,2021-08-29 0:00,
TE 6552,90601,27.6kV,50,21,16,0.000797231,0,0.027894723,70,35,2021-06-06 0:00,
T 3129,91075,4.16kV,37,54,26,0.000787018,0,0.027537362,48.84,35,2021-07-05 0:00,
T 10432,91360,27.6kV,50,20,28,0.000783363,0,0.027409478,75,35,2021-06-06 0:00,
TE 3560,90467,27.6kV,225,14,1,0.000783224,0,0.027404627,256.5,35,2021-08-29 0:00,
T 10438,91360,27.6kV,50,25,29,0.000780853,0,0.027321645,70,35,2021-08-29 0:00,
T 9597,91350,27.6kV,25,28,14,0.000777181,0,0.027193169,37,35,2021-06-06 0:00,
T 10465,91365,27.6kV,75,20,49,0.000775829,0,0.02714588,100.5,35,2021-06-28 0:00,
T 9673,91360,27.6kV,50,34,26,0.0007539,0,0.026378589,67,35,2021-08-21 0:00,
TE 6177,90601,27.6kV,50,23,14,0.000750383,0,0.026255521,61.5,35,2021-06-28 0:00,
TE 7779,90601,27.6kV,50,14,13,0.000741813,0,0.025955677,69.5,35,2021-08-22 0:00,
T 9235,91360,27.6kV,50,29,19,0.000741026,0,0.025928144,71.5,35,2021-08-12 0:00,
T 10411,91355,27.6kV,37,22,23,0.00074014,0,0.025897126,49.95,35,2021-08-30 0:00,
T 8541,91355,27.6kV,37,11,18,0.00072669,0,0.025426506,50.69,35,2021-08-23 0:00,
TE 1769,90601,27.6kV,50,21,25,0.000726662,0,0.025425525,71.5,35,2021-06-27 0:00,
TE 7047,90601,27.6kV,50,18,11,0.000725039,0,0.025368765,64,35,2021-06-27 0:00,
T 9268,91360,27.6kV,50,29,30,0.000717861,0,0.025117616,68,35,2021-06-28 0:00,
TE 7008,90601,27.6kV,50,18,16,0.000711557,0,0.024897022,62.5,35,2021-08-29 0:00,
TE 7861,90601,27.6kV,50,14,15,0.000710136,0,0.024847295,70,35,2021-06-05 0:00,
T 9806,91350,27.6kV,25,24,13,0.000709294,0,0.024817833,38.75,35,2021-07-06 0:00,
TE 1679,90452,27.6kV,112,22,1,0.000703994,0,0.0246324,124.32,35,2021-08-26 0:00,
T 10366,91360,27.6kV,50,21,38,0.000700404,0,0.024506783,66.5,35,2021-08-26 0:00,
T 10431,91360,27.6kV,50,20,30,0.00069839,0,0.024436307,66,35,2021-07-06 0:00,
TE 5017,90462,27.6kV,150,32,1,0.000695887,0,0.024348746,153,35,2021-08-23 0:00,
T 24,91085,4.16kV,75,20,42,0.00069552,0,0.024335909,102,35,2021-07-05 0:00,
TE 7236,90601,27.6kV,50,17,16,0.000694873,0,0.024313266,70,35,2021-06-06 0:00,
TE 7450,90601,27.6kV,50,17,16,0.000694451,0,0.024298485,63.5,35,2021-08-29 0:00,
TE 8482,90601,27.6kV,50,7,15,0.000689542,0,0.024126719,67,35,2021-06-06 0:00,
T 9742,91355,27.6kV,37,25,19,0.000688106,0,0.024076478,49.21,35,2021-08-29 0:00,
T 9497,91360,27.6kV,50,25,27,0.000678404,0,0.023737012,71.5,35,2021-08-29 0:00,
TE 6720,90601,27.6kV,50,20,16,0.000673076,0,0.023550591,66.5,35,2021-08-25 0:00,
TE 6560,90604,27.6kV,75,21,18,0.000670667,0,0.023466313,93.75,35,2021-06-06 0:00,
T 9680,91360,27.6kV,50,50,25,0.000663634,0,0.023220221,63.5,35,2021-06-28 0:00,
T 10355,91360,27.6kV,50,21,27,0.000663627,0,0.023219981,65.5,35,2021-08-28 0:00,
T 10674,91365,27.6kV,75,19,51,0.000662344,0,0.023175076,97.5,35,2021-08-29 0:00,
TE 6173,90601,27.6kV,50,2,14,0.00065921,0,0.023065436,63.5,35,2021-06-11 0:00,
TE 3753,90601,27.6kV,50,14,15,0.000658904,0,0.023054738,81.73,35,2022-01-29 0:00,
TE 7248,90601,27.6kV,50,18,14,0.000656154,0,0.022958489,69.5,35,2021-06-06 0:00,
TE 4482,90605,27.6kV,75,34,14,0.000652784,0,0.022840593,93,35,2021-07-05 0:00,
T 10669,91360,27.6kV,50,17,27,0.000642114,0,0.022467247,67,35,2021-06-28 0:00,
T 8902,91360,27.6kV,50,10,32,0.000641867,0,0.022458609,64,35,2021-06-06 0:00,
TE 7066,90601,27.6kV,50,18,12,0.000635831,0,0.022247398,65.5,35,2021-06-27 0:00,
T 10453,91355,27.6kV,37,20,24,0.000629647,0,0.022031037,47.73,35,2021-08-29 0:00,
TE 6945,90601,27.6kV,50,19,15,0.000619027,0,0.021659464,65.5,35,2021-06-06 0:00,
T 10873,91360,27.6kV,50,44,37,0.000617731,0,0.021614115,66,35,2021-07-06 0:00,
TE 6838,90601,27.6kV,50,20,16,0.000617219,0,0.021596198,61,35,2021-06-27 0:00,
T 9302,91360,27.6kV,50,11,15,0.0006156,0,0.021539543,67.5,35,2021-06-11 0:00,
T 9751,91355,27.6kV,37,25,17,0.000611009,0,0.021378904,45.51,35,2021-07-25 0:00,
T 715,91080,4.16kV,50,22,13,0.000606826,0,0.021232527,68.5,35,2021-06-29 0:00,
TE 7048,90601,27.6kV,50,18,12,0.000605901,0,0.02120018,69.5,35,2021-06-27 0:00,
T 11232,91360,27.6kV,50,10,28,0.000602803,0,0.02109178,64.5,35,2021-08-26 0:00,
TE 2733,90601,27.6kV,50,11,56,0.000599828,0,0.0209877,59.5,35,2021-07-06 0:00,
TE 5870,90601,27.6kV,50,9,13,0.0005967,0,0.020878227,64.5,35,2021-08-29 0:00,
TE 5654,90600,27.6kV,50,25,16,0.000589778,0,0.020636049,62.5,35,2021-08-29 0:00,
T 11547,91360,27.6kV,50,8,26,0.000589278,0,0.020618551,73.5,35,2021-08-29 0:00,
T 9580,91360,27.6kV,50,28,25,0.000580726,0,0.020319327,67.5,35,2021-08-29 0:00,
T 9192,91365,27.6kV,75,29,29,0.000580517,0,0.020311991,93.75,35,2021-07-05 0:00,
T 11468,91400,27.6kV,75,7,13,0.000578886,0,0.020254925,99.75,35,2021-08-11 0:00,
TE 6659,90601,27.6kV,50,21,11,0.000575504,0,0.020136608,65.5,35,2021-08-29 0:00,
TE 5577,90600,27.6kV,50,28,15,0.00056914,0,0.019913942,64,35,2021-08-29 0:00,
TE 6815,90601,27.6kV,50,18,16,0.000563924,0,0.019731409,60.5,35,2021-08-09 0:00,
TE 6191,90601,27.6kV,50,12,16,0.000560715,0,0.019619137,69,35,2021-06-27 0:00,
TE 1563,90460,27.6kV,150,35,1,0.00055825,0,0.019532876,154.5,35,2021-08-22 0:00,
TE 7437,90601,27.6kV,50,16,14,0.000556987,0,0.019488712,66.5,35,2021-08-21 0:00,
TE 7049,90601,27.6kV,50,18,10,0.000545353,0,0.01908164,67,35,2021-08-29 0:00,
T 11521,91365,27.6kV,75,7,30,0.000544887,0,0.019065332,115.125,35,2022-01-20 0:00,
T 2470,91070,4.16kV,25,21,16,0.000543245,0,0.019007863,39,35,2021-06-06 0:00,
T 11559,91468,27.6kV,50,7,43,0.000542863,0,0.0189945,64.5,35,2021-07-05 0:00,
TE 5039,90715,27.6kV,225,32,1,0.000538867,0,0.018854698,237.51,35,2021-08-04 0:00,
T 9687,91355,27.6kV,37,27,18,0.000536893,0,0.018785636,49.21,35,2021-06-06 0:00,
TE 6891,90476,27.6kV,300,6,1,0.000536849,0,0.018784074,297,35,2021-08-26 0:00,
T 11543,91360,27.6kV,50,8,14,0.000535901,0,0.01875092,76,35,2021-08-24 0:00,
TE 7223,90601,27.6kV,50,18,12,0.000531797,0,0.018607305,64.5,35,2021-08-20 0:00,
T 2642,91070,4.16kV,25,61,9,0.000529141,0,0.018514378,33.5,35,2021-07-05 0:00,
TE 6175,90601,27.6kV,50,23,16,0.000527799,0,0.018467441,63.5,35,2021-08-22 0:00,
TE 1377,90452,27.6kV,112,22,1,0.000526139,0,0.018409327,126.1232,35,2022-01-15 0:00,
T 10427,91360,27.6kV,50,22,31,0.000522544,0,0.01828354,64.5,35,2021-06-06 0:00,
T 424,91075,4.16kV,37,58,20,0.0005224,0,0.01827853,50.32,35,2021-08-29 0:00,
TE 6609,90601,27.6kV,50,21,16,0.000521261,0,0.018238665,68,35,2021-06-27 0:00,
T 4302,91070,4.16kV,25,60,18,0.000519312,0,0.018170471,32,35,2021-07-06 0:00,
T 9255,91360,27.6kV,50,29,27,0.000518369,0,0.018137486,65,35,2021-06-27 0:00,
TE 7404,90601,27.6kV,50,17,13,0.00051834,0,0.018136442,60,35,2021-07-06 0:00,
TE 7811,90601,27.6kV,50,11,16,0.000513072,0,0.017952122,63,35,2021-06-27 0:00,
TE 3441,90462,27.6kV,150,7,1,0.000511229,0,0.01788765,171,35,2021-07-25 0:00,
TE 7804,90601,27.6kV,50,13,16,0.000509772,0,0.01783668,60.5,35,2021-06-06 0:00,
TE 6348,90601,27.6kV,50,5,13,0.000509506,0,0.017827346,62,35,2021-07-04 0:00,
TE 6672,90083,4.16kV,50,21,12,0.00050809,0,0.017777802,62,35,2021-07-25 0:00,
TE 8580,90601,27.6kV,50,7,12,0.000506382,0,0.017718044,59,35,2021-08-28 0:00,
TE 1634,90462,27.6kV,150,20,1,0.00049823,0,0.017432828,145.5,35,2021-07-05 0:00,
T 1974,91080,4.16kV,50,5,23,0.000498214,0,0.01743225,63.5,35,2021-06-29 0:00,
T 1989,91075,4.16kV,37,23,18,0.00049684,0,0.017384196,47.36,35,2021-06-11 0:00,
T 3118,91360,4.16kV,50,31,29,0.000495543,0,0.017338809,62,35,2021-08-29 0:00,
TE 7479,90601,27.6kV,50,16,16,0.00049284,0,0.017244218,61,35,2021-08-29 0:00,
TE 7245,90601,27.6kV,50,18,14,0.000492117,0,0.01721893,68,35,2021-07-06 0:00,
T 3841,91080,4.16kV,50,22,21,0.000492054,0,0.017216723,66.99,35,2022-01-29 0:00,
T 9465,91360,27.6kV,50,28,27,0.000491597,0,0.017200747,57.86,35,2022-01-10 0:00,
T 9699,91355,27.6kV,37,25,20,0.000489756,0,0.017136314,49.21,35,2021-07-05 0:00,
TE 4262,90601,27.6kV,50,12,11,0.00048738,0,0.017053186,68,35,2021-08-27 0:00,
T 8345,91360,27.6kV,50,22,20,0.000487296,0,0.017050261,65,35,2021-07-05 0:00,
TE 8242,90601,27.6kV,50,10,15,0.00048445,0,0.01695067,68,35,2021-06-06 0:00,
TE 1166,90462,27.6kV,150,8,1,0.000482974,0,0.016899026,144,35,2021-07-06 0:00,
TE 7224,90601,27.6kV,50,18,14,0.000478943,0,0.016757973,63,35,2021-06-06 0:00,
T 8297,91370,27.6kV,300,7,14,0.000478902,0,0.016756557,510,35,2021-06-30 0:00,
T 10390,91350,27.6kV,25,2,12,0.00047626,0,0.016664106,35.5,35,2021-06-27 0:00,
T 47,91070,4.16kV,25,61,12,0.000475654,0,0.016642891,31.25,35,2021-06-07 0:00,
TE 5940,90600,27.6kV,50,24,16,0.00047366,0,0.016573123,69.5,35,2021-08-29 0:00,
TE 8099,90601,27.6kV,50,9,16,0.000473533,0,0.016568673,62,35,2021-08-21 0:00,
TE 6859,90604,27.6kV,75,15,16,0.000473208,0,0.016557319,100.5,35,2021-08-23 0:00,
TE 6433,90601,27.6kV,50,22,16,0.000472343,0,0.016527031,63,35,2021-06-27 0:00,
TE 6856,90723,27.6kV,300,19,1,0.000471583,0,0.016500439,378,35,2021-10-07 0:00,
T 10525,91360,27.6kV,50,1,24,0.000470529,0,0.016463591,62,35,2021-08-26 0:00,
T 3646,91080,4.16kV,50,41,26,0.00046739,0,0.016353737,65,35,2021-08-29 0:00,
T 5999,91070,4.16kV,25,22,10,0.000466191,0,0.016311795,33.25,35,2021-08-29 0:00,
T 9738,91355,27.6kV,37,25,19,0.000460801,0,0.016123199,42.2392,35,2021-12-07 0:00,
